model,display_model,sample_id,record_id,candidate_id,passed,contains_sorry,repaired,status,failure_reason
google/gemini-3.1-pro-preview,Gemini 3.1 Pro Preview,final160_pass3_s0,fem_projection.p0_projection_best_const_approx_2cell,google_gemini_3_1_pro_preview:fem_projection_p0_projection_best_const_approx_2cell:proof_completion:final160_pass3_s0,0,0,0,lean_failure,lean_failure
google/gemini-3.1-pro-preview,Gemini 3.1 Pro Preview,final160_pass3_s1,fem_projection.p0_projection_best_const_approx_2cell,google_gemini_3_1_pro_preview:fem_projection_p0_projection_best_const_approx_2cell:proof_completion:final160_pass3_s1,1,0,0,pass,
google/gemini-3.1-pro-preview,Gemini 3.1 Pro Preview,final160_pass3_s2,fem_projection.p0_projection_best_const_approx_2cell,google_gemini_3_1_pro_preview:fem_projection_p0_projection_best_const_approx_2cell:proof_completion:final160_pass3_s2,0,0,0,lean_failure,lean_failure
google/gemini-3.1-pro-preview,Gemini 3.1 Pro Preview,final160_pass3_s0,fem_projection.p0_projection_idempotent_2cell,google_gemini_3_1_pro_preview:fem_projection_p0_projection_idempotent_2cell:proof_completion:final160_pass3_s0,0,0,0,lean_failure,lean_failure
google/gemini-3.1-pro-preview,Gemini 3.1 Pro Preview,final160_pass3_s1,fem_projection.p0_projection_idempotent_2cell,google_gemini_3_1_pro_preview:fem_projection_p0_projection_idempotent_2cell:proof_completion:final160_pass3_s1,0,0,0,lean_failure,lean_failure
google/gemini-3.1-pro-preview,Gemini 3.1 Pro Preview,final160_pass3_s2,fem_projection.p0_projection_idempotent_2cell,google_gemini_3_1_pro_preview:fem_projection_p0_projection_idempotent_2cell:proof_completion:final160_pass3_s2,0,0,0,lean_failure,lean_failure
google/gemini-3.1-pro-preview,Gemini 3.1 Pro Preview,final160_pass3_s0,fem_projection.weighted_p0_average_const_general_n,google_gemini_3_1_pro_preview:fem_projection_weighted_p0_average_const_general_n:proof_completion:final160_pass3_s0,1,0,1,pass,
google/gemini-3.1-pro-preview,Gemini 3.1 Pro Preview,final160_pass3_s1,fem_projection.weighted_p0_average_const_general_n,google_gemini_3_1_pro_preview:fem_projection_weighted_p0_average_const_general_n:proof_completion:final160_pass3_s1,1,0,1,pass,
google/gemini-3.1-pro-preview,Gemini 3.1 Pro Preview,final160_pass3_s2,fem_projection.weighted_p0_average_const_general_n,google_gemini_3_1_pro_preview:fem_projection_weighted_p0_average_const_general_n:proof_completion:final160_pass3_s2,1,0,1,pass,
google/gemini-3.1-pro-preview,Gemini 3.1 Pro Preview,final160_pass3_s0,fem_projection.weighted_p0_average_smul_general_n,google_gemini_3_1_pro_preview:fem_projection_weighted_p0_average_smul_general_n:proof_completion:final160_pass3_s0,0,0,0,lean_failure,lean_failure
