record_id,category,difficulty,solved_by_tactic_portfolio,passing_baselines
ode_symplectic.leapfrog_one_step_invariant_1d,ode_symplectic,2,False,
ode_symplectic.leapfrog_orbit_step_invariant_1d,ode_symplectic,2,False,
ode_symplectic.leapfrog_invariant_1d,ode_symplectic,3,False,
ode_symplectic.symplectic_euler_one_step_invariant_1d,ode_symplectic,1,False,
ode_symplectic.symplectic_euler_orbit_step_invariant_1d,ode_symplectic,2,False,
ode_symplectic.symplectic_euler_invariant_1d,ode_symplectic,3,False,
ode_symplectic.symplectic_euler_linear_det_1d,ode_symplectic,2,False,
ode_runge_kutta.explicit_euler_zero_dt_1d,ode_runge_kutta,1,False,
ode_runge_kutta.explicit_euler_linear_step_1d,ode_runge_kutta,1,False,
ode_runge_kutta.midpoint_rk2_zero_dt_1d,ode_runge_kutta,1,False,
ode_runge_kutta.midpoint_rk2_linear_taylor2_1d,ode_runge_kutta,2,False,
ode_runge_kutta.heun_rk2_linear_taylor2_1d,ode_runge_kutta,2,False,
ode_runge_kutta.midpoint_heun_agree_linear_1d,ode_runge_kutta,2,False,
linear_algebra_stability.vec2_inf_norm_nonneg_2d,linear_algebra_stability,1,False,
linear_algebra_stability.abs_left_le_vec2_inf_norm_2d,linear_algebra_stability,1,False,
linear_algebra_stability.abs_right_le_vec2_inf_norm_2d,linear_algebra_stability,1,False,
linear_algebra_stability.row2_apply_const_2d,linear_algebra_stability,1,False,
linear_algebra_stability.row2_apply_abs_le_2d,linear_algebra_stability,3,False,
linear_algebra_stability.row_stochastic2_const_2d,linear_algebra_stability,2,False,
linear_algebra_stability.row_stochastic2_inf_norm_abs_le_2d,linear_algebra_stability,3,False,
linear_algebra_stability.diag2_zero_2d,linear_algebra_stability,1,False,
linear_algebra_stability.diag2_inf_norm_le_2d,linear_algebra_stability,3,False,
linear_algebra_stability.finite_row_apply_abs_le_general_n,linear_algebra_stability,4,False,
spectral_dft.dft2_dc_const_2pt,spectral_dft,1,False,
spectral_dft.dft2_nyquist_const_zero_2pt,spectral_dft,1,False,
