index,record_id,role,is_hard_subset_row,full_status,full_failure_category,no_context_status,no_context_failure_category,flip
1,finite_difference.heat_cfl_linf_stability_1d,hard_abs_algebra_convex_combination,True,pass,passed,pass,passed,both_pass
2,finite_difference.lax_friedrichs_cfl_linf_stability_1d,hard_abs_algebra_chaining,True,pass,passed,pass,passed,both_pass
3,fem_projection.p0_projection_idempotent_2cell,hard_definition_unfolding_projection,True,fail,proof_search_failure,fail,proof_search_failure,both_fail
4,finite_difference.kdv_canonical_flux_const_1d,hard_definition_unfolding_flux,True,pass,passed,fail,proof_search_failure,context_helps
5,finite_difference.heat_grid_total_balance_1d,hard_sum_boundary_telescoping,True,pass,passed,pass,passed,both_pass
6,spectral_dft.finite_dc_centered_signal_zero_general_n,hard_sum_normalization_nonzero_card,True,pass,passed,pass,passed,both_pass
7,linear_algebra_stability.diag2_inf_norm_le_2d,hard_norm_api_choreography,True,fail,other_lean_failure,pass,passed,no_context_better
8,fem_projection.weighted_p0_projection_orthogonal_const_general_n,representative_fem_general_n,False,pass,passed,pass,passed,both_pass
9,fem_projection.p0_projection_best_const_approx_2cell,representative_fem_projection,False,pass,passed,pass,passed,both_pass
10,fem_projection.p0_projection_l2_contract_2cell,representative_fem_projection,False,pass,passed,fail,other_lean_failure,context_helps
11,finite_difference.burgers_total_change_update_1d,representative_burgers_conservation,False,pass,passed,pass,passed,both_pass
12,finite_difference.burgers_total_update_1d,representative_burgers_conservation,False,pass,passed,pass,passed,both_pass
13,finite_difference.burgers_conservative_update_const_state_1d,representative_burgers_const_state,False,pass,passed,fail,proof_search_failure,context_helps
14,finite_difference.flux_difference_sum_range_1d,representative_conservation_telescoping,False,fail,type_mismatch_or_typeclass,fail,proof_search_failure,both_fail
15,finite_difference.total_change_conservative_update_1d,representative_conservation_total_change,False,pass,passed,pass,passed,both_pass
16,finite_difference.total_conservative_update_1d,representative_conservation_total,False,pass,passed,pass,passed,both_pass
17,finite_difference.heat_grid_linf_stability_1d,representative_heat_stability,False,pass,passed,pass,passed,both_pass
18,finite_difference.heat_grid_total_change_1d,representative_heat_total_change,False,pass,passed,pass,passed,both_pass
19,finite_difference.heat_monotone_1d,representative_heat_monotonicity,False,pass,passed,pass,passed,both_pass
20,finite_difference.kdv_canonical_mass_periodic_flux_1d,representative_kdv_mass,False,pass,passed,pass,passed,both_pass
21,finite_difference.kdv_mass_update_1d,representative_kdv_mass,False,pass,passed,fail,timeout_or_harness_error,context_helps
22,finite_difference.kdv_total_canonical_update_1d,representative_kdv_total,False,pass,passed,fail,type_mismatch_or_typeclass,context_helps
23,finite_difference.lax_friedrichs_monotone_1d,representative_fd_stability,False,pass,passed,pass,passed,both_pass
24,finite_difference.upwind_cfl_linf_stability_1d,representative_fd_stability,False,pass,passed,pass,passed,both_pass
25,finite_difference.upwind_monotone_1d,representative_fd_stability,False,pass,passed,pass,passed,both_pass
26,linear_algebra_stability.finite_row_apply_abs_le_general_n,representative_linear_algebra_general_n,False,pass,passed,fail,type_mismatch_or_typeclass,context_helps
27,linear_algebra_stability.row2_apply_abs_le_2d,representative_linear_algebra_2d,False,fail,missing_context_or_identifier,fail,missing_context_or_identifier,both_fail
28,linear_algebra_stability.row_stochastic2_inf_norm_abs_le_2d,representative_linear_algebra_2d,False,pass,passed,pass,passed,both_pass
29,ode_runge_kutta.heun_rk2_linear_taylor2_1d,representative_ode_rk,False,pass,passed,pass,passed,both_pass
30,ode_runge_kutta.midpoint_heun_agree_linear_1d,representative_ode_rk,False,pass,passed,pass,passed,both_pass
31,ode_runge_kutta.midpoint_rk2_linear_taylor2_1d,representative_ode_rk,False,pass,passed,pass,passed,both_pass
32,ode_symplectic.leapfrog_invariant_1d,representative_ode_symplectic,False,fail,proof_search_failure,pass,passed,no_context_better
33,ode_symplectic.symplectic_euler_invariant_1d,representative_ode_symplectic,False,pass,passed,pass,passed,both_pass
34,ode_symplectic.leapfrog_one_step_invariant_1d,representative_ode_symplectic,False,pass,passed,pass,passed,both_pass
35,spectral_dft.dft2_energy_eq_two_physical_energy_2pt,representative_spectral_dft,False,pass,passed,pass,passed,both_pass
36,spectral_dft.dft2_parseval_2pt,representative_spectral_dft,False,pass,passed,pass,passed,both_pass
37,spectral_dft.dft2_inverse_2pt,representative_spectral_dft,False,pass,passed,pass,passed,both_pass
