record_id,category,difficulty,one_shot_failures,one_shot_passes,models_with_pass_at_3,persistent_fail_models,passing_samples,rejected_outputs,models_with_pass
finite_difference.lax_friedrichs_cfl_linf_stability_1d,finite_difference_stability,3,4,1,5,0,11,0,google/gemini-3.1-pro-preview;openai/gpt-5.5-pro;anthropic/claude-opus-4.8;qwen/qwen3.6-max-preview;deepseek/deepseek-v4-pro
fem_projection.p0_projection_best_const_approx_2cell,fem_projection,3,4,1,4,1,8,0,google/gemini-3.1-pro-preview;openai/gpt-5.5-pro;anthropic/claude-opus-4.8;qwen/qwen3.6-max-preview
fem_projection.weighted_p0_average_smul_general_n,fem_projection,3,4,1,4,1,5,1,google/gemini-3.1-pro-preview;openai/gpt-5.5-pro;qwen/qwen3.6-max-preview;deepseek/deepseek-v4-pro
fem_projection.weighted_p0_residual_mass_zero_general_n,fem_projection,4,4,1,3,2,5,2,google/gemini-3.1-pro-preview;openai/gpt-5.5-pro;deepseek/deepseek-v4-pro
fem_projection.p0_projection_idempotent_2cell,fem_projection,1,4,1,2,3,6,0,openai/gpt-5.5-pro;deepseek/deepseek-v4-pro
spectral_dft.finite_dc_centered_signal_zero_general_n,spectral_dft,3,3,2,5,0,10,1,google/gemini-3.1-pro-preview;openai/gpt-5.5-pro;anthropic/claude-opus-4.8;qwen/qwen3.6-max-preview;deepseek/deepseek-v4-pro
fem_projection.weighted_p0_average_const_general_n,fem_projection,3,3,2,4,1,11,0,google/gemini-3.1-pro-preview;openai/gpt-5.5-pro;anthropic/claude-opus-4.8;deepseek/deepseek-v4-pro
finite_difference.heat_weights_nonneg_cfl_1d,finite_difference_heat,2,3,2,4,1,7,0,google/gemini-3.1-pro-preview;anthropic/claude-opus-4.8;qwen/qwen3.6-max-preview;deepseek/deepseek-v4-pro
linear_algebra_stability.finite_row_apply_const_general_n,linear_algebra_stability,2,3,2,4,1,12,0,google/gemini-3.1-pro-preview;openai/gpt-5.5-pro;anthropic/claude-opus-4.8;deepseek/deepseek-v4-pro
finite_difference.kdv_canonical_flux_const_difference_zero_1d,finite_difference_kdv,2,3,2,2,3,4,0,google/gemini-3.1-pro-preview;openai/gpt-5.5-pro
linear_algebra_stability.diag2_inf_norm_le_2d,linear_algebra_stability,3,3,2,1,4,3,0,anthropic/claude-opus-4.8
